Host_Gender,Latitude,Longitude,Area,Room_type,Minimum_nights,review_per_month,total_reviews,price
0,40764,-73772,2,0,4,2970,101,2
1,40763,-73770,1,0,5,4510,96,1
1,40761,-73772,0,1,2,4530,74,2
1,40766,-73774,0,1,2,9160,148,2
1,40760,-73773,2,1,3,2760,78,0
0,40761,-73776,0,0,5,560,178,1
1,40767,-73770,3,1,2,9500,103,0
0,40762,-73775,3,1,1,5590,210,0
0,40764,-73773,0,0,4,4970,110,1
1,40760,-73776,0,1,2,5020,54,2
0,40767,-73773,2,0,3,1830,32,2
1,40769,-73773,4,1,3,9240,270,0
1,40760,-73776,4,0,4,4600,132,0
0,40764,-73778,2,1,2,1010,149,0
0,40760,-73771,0,0,5,1290,93,1
0,40769,-73777,1,1,3,13230,33,2
0,40768,-73774,2,1,1,13340,117,0
0,40766,-73771,3,0,3,3770,168,2
0,40764,-73779,4,1,2,12360,103,0
1,40766,-73776,4,1,3,6110,196,0
0,40766,-73773,4,1,3,870,189,0
1,40765,-73773,1,1,1,2050,425,2
1,40761,-73772,2,0,4,4380,87,2
0,40766,-73772,0,1,3,220,189,2
0,40768,-73772,0,0,5,3790,170,1
0,40763,-73772,1,1,3,12450,225,2
0,40767,-73772,3,1,3,7940,383,0
1,40766,-73773,3,1,3,3750,473,0
1,40762,-73779,3,1,3,10920,202,0
1,40766,-73772,0,1,1,13260,40,2
1,40763,-73771,3,0,5,820,99,0
1,40768,-73770,2,0,3,2340,157,2
0,40761,-73777,2,1,1,13900,186,0
1,40768,-73778,2,1,1,12660,47,0
0,40763,-73772,4,1,3,2440,240,0
1,40763,-73770,4,1,3,14280,33,0
0,40765,-73770,3,0,4,1800,81,2
0,40760,-73779,0,0,5,420,14,1
0,40766,-73772,4,1,1,7020,116,0
1,40763,-73773,2,0,3,720,86,2
0,40762,-73777,1,0,5,4110,126,1
0,40760,-73771,0,1,2,9660,422,2
1,40767,-73772,1,1,2,390,187,2
1,40765,-73771,0,1,1,10100,368,2
0,40763,-73774,0,1,2,13150,275,2
0,40761,-73777,0,1,3,9520,184,2
0,40763,-73772,4,1,3,3190,54,0
1,40763,-73774,1,0,5,680,162,1
1,40768,-73778,4,0,4,3130,92,0
0,40762,-73777,0,0,4,4010,127,1
0,40768,-73777,3,0,5,4690,119,2
1,40766,-73775,2,1,2,8940,481,0
1,40764,-73771,1,1,2,14980,198,2
0,40762,-73774,4,1,3,6680,113,0
1,40760,-73770,3,1,2,370,11,0
1,40765,-73776,3,0,3,4630,104,2
1,40764,-73776,1,1,3,7450,135,2
0,40765,-73775,1,1,2,7670,76,1
1,40766,-73776,0,1,2,4610,326,2
0,40765,-73773,1,1,3,2550,438,2
1,40767,-73779,1,1,3,3610,58,2
0,40768,-73774,1,1,2,6610,111,2
0,40763,-73771,1,0,5,4650,130,1
1,40765,-73775,1,1,3,11940,353,2
1,40769,-73774,2,1,2,7230,77,0
1,40768,-73772,3,1,2,3440,21,0
1,40767,-73770,0,0,4,4030,174,1
1,40765,-73770,0,0,4,1870,179,1
1,40769,-73772,1,0,4,1780,30,1
1,40768,-73774,3,1,3,3400,103,0
0,40760,-73777,3,0,4,470,11,2
1,40765,-73770,2,0,5,2950,77,0
1,40768,-73777,3,0,5,3110,152,2
0,40763,-73776,2,1,1,14300,119,0
0,40763,-73773,3,1,3,12830,159,0
0,40769,-73774,0,0,5,2490,81,1
1,40765,-73772,0,1,3,9900,219,2
0,40762,-73779,2,1,1,5170,92,0
1,40765,-73778,2,1,2,270,93,0
0,40769,-73775,1,0,3,4590,176,1
1,40762,-73775,0,0,3,1880,41,1
0,40763,-73775,0,1,3,1420,284,2
0,40765,-73773,3,1,1,12840,57,0
0,40769,-73774,1,0,3,3470,48,1
0,40760,-73773,0,0,3,1740,114,1
1,40761,-73777,0,0,5,3240,64,1
1,40769,-73770,0,1,1,11490,92,2
1,40764,-73772,0,1,1,7760,222,2
1,40769,-73777,1,1,2,10340,138,2
1,40766,-73774,0,0,4,2650,67,1
0,40763,-73774,2,0,3,3900,28,2
0,40763,-73778,4,1,2,12490,57,0
0,40762,-73771,1,1,3,14930,172,2
1,40761,-73770,2,1,1,3240,61,0
0,40765,-73772,2,0,4,720,43,2
1,40768,-73777,0,1,3,14970,184,2
1,40766,-73770,0,0,5,3550,158,1
0,40769,-73774,0,1,3,13080,288,2
0,40764,-73773,0,0,4,4480,161,1
1,40768,-73779,4,1,2,13440,349,0
0,40765,-73776,1,1,1,7970,158,2
0,40765,-73772,1,0,4,4830,112,1
0,40765,-73774,1,1,2,3480,152,2
1,40767,-73774,1,0,5,3470,88,1
1,40769,-73771,0,1,3,7530,115,2
1,40762,-73779,0,0,4,4270,149,1
0,40760,-73772,2,1,1,11870,79,0
1,40765,-73770,1,0,4,330,62,1
0,40762,-73773,4,1,3,7740,157,0
1,40763,-73776,1,0,4,2780,155,1
0,40767,-73779,1,1,2,13760,389,2
1,40761,-73778,1,1,1,7040,186,2
0,40760,-73775,2,0,3,3540,125,2
1,40762,-73770,1,1,2,11460,144,2
0,40766,-73774,4,1,2,11190,131,0
0,40767,-73772,0,1,2,1160,289,2
1,40764,-73775,2,1,2,6690,176,0
1,40767,-73778,1,1,3,13980,242,2
1,40769,-73772,1,1,2,5700,101,2
1,40769,-73777,0,1,3,2660,102,2
1,40760,-73771,1,1,1,11080,106,2
1,40769,-73776,3,0,3,3800,11,2
1,40761,-73770,0,0,3,4170,157,1
0,40761,-73778,0,1,1,14140,35,1
1,40765,-73778,3,0,4,220,188,2
0,40765,-73775,4,1,2,4280,466,0
1,40761,-73774,3,0,4,410,144,2
1,40769,-73773,0,0,4,3160,93,1
0,40765,-73776,0,0,3,1660,55,1
1,40768,-73771,3,0,3,2150,160,0
1,40765,-73773,4,1,1,11620,117,0
1,40768,-73771,3,0,5,3860,74,2
1,40764,-73778,3,0,4,4050,100,2
0,40764,-73778,3,0,5,3710,145,2
0,40763,-73778,3,1,3,13920,224,0
1,40763,-73776,3,1,2,14850,27,0
0,40767,-73770,1,1,3,12430,487,2
0,40765,-73778,0,1,1,7420,209,2
0,40766,-73777,0,1,3,8460,119,2
1,40765,-73779,2,1,2,11600,141,0
0,40768,-73779,1,0,4,4960,21,1
0,40764,-73774,3,0,4,3240,40,2
1,40769,-73774,2,0,5,4610,13,2
0,40766,-73775,0,1,2,12150,107,2
0,40762,-73779,0,0,4,4650,195,1
1,40765,-73775,1,1,2,6640,183,2
0,40760,-73770,1,1,2,6620,51,2
1,40762,-73775,1,0,3,2670,80,1
1,40762,-73777,1,1,2,610,310,2
1,40761,-73776,2,1,3,9530,178,0
1,40762,-73772,0,0,4,1570,167,1
1,40764,-73778,3,0,3,4200,162,2
0,40761,-73773,0,0,5,970,129,1
0,40763,-73778,4,1,3,6120,89,0
0,40760,-73772,1,0,4,3620,153,1
1,40768,-73772,2,1,2,4510,64,0
1,40763,-73774,1,0,5,590,15,1
1,40769,-73773,0,1,3,4860,58,2
0,40764,-73774,1,0,3,4019,10,1
