iter	MultiClass
0	1.081346248
1	1.064680426
2	1.048383854
3	1.032522321
4	1.017089176
5	1.002074062
6	0.9874693323
7	0.973231325
8	0.9593433191
9	0.9458110088
10	0.9326029177
11	0.9197222267
12	0.9071567103
13	0.8948894939
14	0.8828991672
15	0.8711839237
16	0.8597337723
17	0.8485501442
18	0.8376047079
19	0.8269037669
20	0.81643876
21	0.8062099353
22	0.7961719517
23	0.7863462177
24	0.7767193988
25	0.7673140529
26	0.7580808006
27	0.7490353158
28	0.7401660506
29	0.7314870344
30	0.7229695072
31	0.7146079084
32	0.7064044564
33	0.6983555335
34	0.6904536299
35	0.6827117071
36	0.6751103578
37	0.6676414956
38	0.6603056225
39	0.6531081987
40	0.6460366291
41	0.6391029731
42	0.6322778622
43	0.62557152
44	0.6189748819
45	0.6124937932
46	0.6061183038
47	0.5998828302
48	0.59372799
49	0.5876755476
50	0.581717563
51	0.5758575867
52	0.5700933272
53	0.5644235454
54	0.5588449651
55	0.5533569347
56	0.5479583487
57	0.5426829951
58	0.5374575727
59	0.53230711
60	0.5272485683
61	0.522260468
62	0.5173470196
63	0.5125118983
64	0.5077465408
65	0.5030548589
66	0.4984319319
67	0.493886625
68	0.4894099713
69	0.4849943153
70	0.4806434485
71	0.4763585864
72	0.4721347022
73	0.4679990379
74	0.4638999943
75	0.4598610863
76	0.4558852034
77	0.4519569244
78	0.448084717
79	0.4442787963
80	0.4405213243
81	0.4368146945
82	0.4331637579
83	0.4295647655
84	0.4260112264
85	0.4225053618
86	0.4190748502
87	0.4156663945
88	0.4123021014
89	0.4089932814
90	0.4057215899
91	0.4025026123
92	0.3993168705
93	0.396178165
94	0.3930827582
95	0.3900265809
96	0.3870120469
97	0.3840351986
98	0.3811074944
99	0.3782125902
