iter	Passed	Remaining
0	28	2819
1	53	2601
2	87	2844
3	132	3172
4	168	3199
5	198	3116
6	230	3062
7	261	3010
8	292	2952
9	324	2923
10	341	2759
11	372	2731
12	403	2699
13	436	2682
14	468	2655
15	490	2575
16	521	2544
17	551	2511
18	583	2486
19	613	2453
20	644	2425
21	677	2403
22	708	2372
23	741	2347
24	772	2318
25	804	2290
26	835	2258
27	867	2229
28	897	2197
29	929	2167
30	958	2134
31	990	2104
32	1024	2079
33	1055	2048
34	1085	2016
35	1115	1983
36	1146	1951
37	1177	1921
38	1213	1898
39	1245	1868
40	1276	1837
41	1308	1806
42	1339	1775
43	1371	1745
44	1402	1714
45	1433	1682
46	1464	1651
47	1496	1620
48	1527	1589
49	1558	1558
50	1589	1527
51	1620	1496
52	1651	1464
53	1683	1433
54	1715	1403
55	1746	1372
56	1777	1341
57	1809	1310
58	1841	1279
59	1871	1247
60	1902	1216
61	1934	1185
62	1966	1154
63	1998	1124
64	2031	1093
65	2063	1063
66	2094	1031
67	2125	1000
68	2156	969
69	2186	937
70	2218	906
71	2248	874
72	2280	843
73	2311	812
74	2343	781
75	2376	750
76	2407	719
77	2438	687
78	2470	656
79	2501	625
80	2532	594
81	2563	562
82	2594	531
83	2624	499
84	2656	468
85	2687	437
86	2718	406
87	2749	374
88	2781	343
89	2812	312
90	2843	281
91	2874	249
92	2906	218
93	2936	187
94	2967	156
95	2998	124
96	3030	93
97	3063	62
98	3094	31
99	3125	0
